With article id: 35de6aea-82a0-41a8-9af8-38773e1dfc2c and link: http://www.newsonfeeds.com/article/20338034/Your%20Money%20Adviser:%20For%20College%20Students,%20Choosing%20a%20Bank%20Account%20Can%20Be%20a%20Minefield
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'639497290810585088'	#ANCTGMkhizeOutreach: everyone should be able to say that democracy has delivered a better life for all
'640514142097534976'	Palin on possible role in Trump Cabinet: “I think a lot about Department of Energy. If I were the head of that, I’d get rid of it."
'641239156560146432'	@SaarfLondonBird @MPSCroftonPark should be able to help. I think they may have replied to you.#SgtBiddle
'640667302262874112'	Sarah Palin said that immigrants to the US should "speak American" http://t.co/R7eQPzCxjx http://t.co/Jny3Le8aQr
'640549368358150145'	This will be my only tweet about Palin, and only to note that I'm ignoring her.
'649273306307293184'	Ohio Right to Life supports OH abortion bill now under consideration that would ban abortions after a Down Syndrome diagnosis. PP opposes it
'644334841346043904'	Jake Tapper: Thanks, nerd, shut up
'644286089943867392'	@texaslippy Looks like Jake Tapper heard you.
'640512318510600195'	Sarah Palin on CNN about Trump’s @hughhewitt interview: “I don’t think the public gives a flying flip” if he doesn’t know things.
'640553682996629505'	Palin: Down syndrome no reason for abortion http://t.co/tSze35tHPc
'639011872285552640'	So glad you were able to come!  http://t.co/CeabWAyFZ0
'644307125372633092'	Jake Tapper 
'648608569311514624'	@DekanApajee I think has to be that they don't think it works for TV, but the sport has made big progress. I can't think of another reason.
'641611786702221312'	Matiase: How do you think you’ll be able to mediate in Lesotho when you’re conflicted?
'644336050702127104'	Faxing questions to Jake Tapper right now!
'642156344934563840'	Don't miss this from Sarah Palin. Evidently some people think this is smart, anti-Obama political discourse. https://t.co/ckqHsUI5lN
'641359968138981380'	@robboNZ19 We're glad you were able to come out yesterday :-)
----------
With article id: 68047331-25e1-4af5-974b-766f1338bef0 and link: http://www.independent.co.uk/sport/motor-racing/italian-grand-prix-2015-report-lewis-hamilton-closes-in-on-third-world-title-after-monza-triumph-10488706.html
'640619471795810304'	In a country far, far away, George Lucas helped F1 driver Lewis Hamilton celebrate a win. http://t.co/0jhrk4f0Nz http://t.co/FrL7THUhM4
'644102683704623104'	RT @stephmsolis: An officer at the scene confirmed the crash on Route 18 N and that he was asked to stop traffic. He said he had no details…
'639875077627080704'	@DavoMc82 I was pleased to qualify for the second round, just as I was to beat Arbroath and proceed to the second round of the League Cup
'643883134669357056'	The first thing he did after the cone was put on was to ask that I fill his treat toys which he cannot get to from the cone
'648023851515842560'	RT @IExpressSports: LEWIS HAMILTON WINS JAPANESE FORMULA ONE GRAND PRIX FOR MERCEDES #JapaneseGP
'640575396593844224'	From F1Zone : Hamilton keeps Italian Grand Prix win: Lewis Hamilton has kept his victory at the ... http://t.co/iL8WbJPGt4 #F1LiveStream
'647215302997069825'	Just one lap and back into the pits for #Ericsson, #Kvyat,#Massa, #Bottas and #Ricciardo #JapaneseGP #F1
'640757463063625728'	Mercedes' Lewis Hamilton claimed the Italian Grand Prix, his 7th win of the season, ahead of Sebastian Vettel &amp; Felipe Massa #SSF1
'648007278600302592'	'@carlosainz just set fastest lap...
'640494917870092288'	RT @SkySportsF1: The formation lap is underway - follow all lap-by-lap action in our live blog: http://t.co/M45FL6K8Ko #SkyF1 http://t.co/q…
'640148311979069440'	Lewis Hamilton takes pole for the Italian Grand Prix | via @AFP
'640516562269683712'	Lewis Hamilton wins Italian Grand Prix http://t.co/e1HrYNVuvo
'638699790600114176'	The man had no shirt on so they could CLEALY see that he had NO gun in his waistband,AND HE HAD HIS HANDS UP HE WAS SURRENDERING.
'640526454548094976'	Italian Grand Prix: Lewis Hamilton take victory but faces stewards investigation http://t.co/aIgF7MqkYs
'640538782840803328'	RT @iAmBolar: Lewis Hamilton of Mercedes wins the #ItalianGP. His seventh win of the year. #F1
'640527536041119744'	RT @Jamesallenonf1: Italian Grand Prix: Lewis Hamilton take victory but faces stewards investigation http://t.co/aIgF7MqkYs
'646048990115549184'	[The second version of that is so good, and was so obvious, that I had to go for it.]
'648005203074117633'	Lap 10: Jenson boxes a lap later, switching from Primes to Option. #JapaneseGP http://t.co/yvnUsa7Sgr
'640758831107194881'	RT @etvSunrise: #ClassicPlay Options:b)Lewis Hamilton for winning the Italian Grand Prix.
'644898323216904193'	The new plans for a museum that will house Star Wars creator George Lucas' art and film collection have been revealed http://t.co/4JhHGb3jWY
'645585548866883585'	Verstappen was a lap down on the opening lap. He's P11 now. Great job #F1
'640810739310161920'	It got lost in the Merc tyre drama, but I think George Lucas is a waaaaay better filmmaker than interviewer. Sorry Star Wars fans  #F1
'638913535960068096'	25 Best Lap Dogs: http://t.co/SIpSuXz2AE
'640546515367235585'	Hamilton wins Italian Grand Prix pending tyre investigation http://t.co/RYayHzQfWR via @IrishTimesSport http://t.co/kConPKIwUG
'640248473590235136'	I was the only reporter he had talked to and also gave the copy of his resignation. https://t.co/ipMYZr29Pi
'647106592979202048'	John Lewis just told @emma_dumain and me that one of the books he had in his backpack when he crossed the Selma bridge was by Thomas Merton.
'640709903905091584'	Lewis Hamilton wins Italian Grand Prix as Monza stewards investigate tyres http://t.co/ZCtDpnQfw0
'648024012132614144'	Lewis Hamilton wins Japanese F1 Grand Prixhttp://t.co/tBXtlOTnWG
'646663370201006080'	RT @SlateVideo: Watch how the two George Lucas “Star Wars” trilogies “echo and rhyme” with each other. http://t.co/t0ZGknUBNh
'640100735527600128'	RT @Caring4olami: @DeleMomodu He was the last person I expected to speak with that night. He said he had got my message and he was aware of…
'643285317928284160'	Big crowd of onlookers. One said the guy broke a bottle and was holding it to his neck. He had his back to wall next to subway entrance.
'640856820974616576'	WATCH: Star Wars creator George Lucas interviewed the podium finishers at the #ItalianGP &gt;&gt; http://t.co/ZF4WmOD3OQ http://t.co/AVOVUpGc0y
'640518935889227776'	Hamilton takes Italian Grand Prix victory - but faces investigation over tyre infringement http://t.co/RbV0M4CwW5
'640519184816848897'	Breaking: Britain's Lewis Hamilton wins Italian Formula One Grand Prix for Mercedes.
'640515370579828736'	Lewis Hamilton claims the Italian Grand Prix, his 7th win of the season, ahead of Sebastian Vettel &amp; Felipe Massa. #SSF1
'640558617821843456'	Lewis Hamilton keeps his Italian Grand Prix win after Mercedes were cleared of breaching tyre rules &amp; regulations. #SSF1
'640628952978059264'	RT @France24_en: Lewis Hamilton wins Italian Grand Prix, despair for Rosberg http://t.co/MmbYku0o8E
'640526470054477825'	Mercedes investigated over tyres: Italian Grand Prix winner Lewis Hamilton and Mercedes team-mat... http://t.co/j1QYyatIC0 #F1LiveStream
'640494886437978112'	The formation lap is underway - follow all lap-by-lap action in our live blog: http://t.co/M45FL6K8Ko #SkyF1 http://t.co/qwV6O5R2tj
'648023176660692992'	#BREAKING Lewis Hamilton wins Japanese Grand Prix for Mercedes
'645568414258470913'	The formation lap is underway - follow lap-by-lap action in our live blog: http://t.co/8oinYbnm4r #SingaporeGP http://t.co/NqrQsnESW4
'640575386087133184'	Hamilton keeps Italian Grand Prix win: Lewis Hamilton has kept his victory at the Italian Grand ... http://t.co/iL8WbJPGt4 #F1LiveStream
'640588711172947968'	Lap dog https://t.co/msPWnqikf1
'648944488329576448'	@annehelen i was very nice! and so was he. but I was the one who ended the conversation and I think he actually wanted someone to talk to
'640515164106813440'	Lewis Hamilton wins the 2015 Italian Grand Prix #F1
'640092775153823744'	George Lucas is in the paddock today. Cue tenuous Star Wars links. "Feel the @ForceIndiaF1" or something like that. http://t.co/F2OMzlp17o
'640494940288622592'	RT @5liveSport: George Lucas joined us a few moments ago.Hamilton to be Hans Solo in the new Star Wars film?#bbcf1 #ItalianGP http://t.co…
'639781442201907200'	Lewis Hamilton on top again at Italian Grand Prix http://t.co/fEr3UCOC80
'640527952313196544'	Lewis Hamilton takes the chequered flag in the Italian Grand Prix. http://t.co/e7fx5fAK5H
'640496038617436161'	RT @5liveSport: George Lucas joined us a few moments ago.Hamilton to be Han Solo in the new Star Wars film?#bbcf1 #ItalianGP http://t.co/…
'647091399205212161'	#again #efficient box this lap box this lap https://t.co/vfmMJ3HFTa
'640506315580796928'	Lap 28/53 | Roberto follows suit one lap later, also taking on the Medium tyre.
'640343590288297985'	RT @ktguru: Fascinating, creative story evolution of Star Wars’ early drafts by George Lucas… @futureboy http://t.co/rI7KZ0nxHI
'640495248024711168'	RT @5liveSport: George Lucas joined us a few moments ago.Hamilton to be Hans Solo in the new Star Wars film?#bbcf1 #ItalianGP http://t.co…
----------
With article id: 9ce6dea5-1d7e-4648-bcc4-c53d3d4e4558 and link: http://www.thedailystar.net/sports/cricket/stadium-hughes-138997
'640458730966913024'	BREAKING: Australian all-rounder Shane Watson has announced his retirement from Test #cricket.
'644267853433061377'	@Steven_Coventry Ah, thanks. Will delete and apologise.
'644345339152084992'	Today I joined nearly 2/3 of the Senate to say we won't spend your money on a new STL stadium w/out a vote. http://t.co/6GP8UGfp1i
'642775574247665664'	CSU Rams prepare for large Minnesota crowd at Hughes Stadium http://t.co/lsFX254PLt
'640460297099018240'	#BREAKING: Australian cricket player #ShaneWatson has announced his retirement from test cricket
'649266454106386432'	from @mooneyprojo: Judge signals potential public safety issue in #Coventry Fire District http://t.co/hePAHcyjEt http://t.co/XzUxmXstKy
'642750255717588992'	RT @MattStephens: Minnesota arriving at Hughes Stadium. #gophers http://t.co/m1BvK0fIhp
'638742066722418688'	It's college football season! Anyone else going to renovated Nippert Stadium for the #UC #Bearcats game? http://t.co/7f0dIDcKnD
'643016917956063232'	One minute's applause around the stadium in memory of Graham Leggat. http://t.co/nPWnQDYD4T
'647443126068641795'	WICKET | Hughes bowled by Taylor for 101. 285/3
'642816044759777280'	RT @PaulKirk_CSU: Officially announced as a sellout at Hughes Stadium today. Attendance: 32,500. #CSUvsMinnSecond half begins with @CSUFoo…
'640459164678909952'	RT @abcgrandstand: BREAKING: Australian all-rounder Shane Watson has announced his retirement from Test #cricket.
'640460521016201216'	RT @abcgrandstand: BREAKING: Australian all-rounder Shane Watson has announced his retirement from Test #cricket.
'641732473827799041'	@wacka006 @43mccauley Aaron Hughes for me.
'639760071875002368'	Model cricket ground made in memory of batsman Phillip Hughes who was killed by a ball  http://t.co/VIsGMyKgPa http://t.co/9fGLTINagk
'641023802420371457'	My starter home build.  http://t.co/vGD6eY0ycw
'640555370616909824'	Cricket, yes, Cricket is finding a home in #Gwinnett | PHOTOS http://t.co/gJCWvTWCjb http://t.co/DIQpdtKq9f
'645266634907742208'	The Coventry Riders Action Group got in touch to arrange a Biker Down course on what to do if 1st at an accident! http://t.co/X0RscoMljw
'640462202181259265'	#BREAKING: Australian cricketer Shane Watson has announced his retirement from Test Cricket, effective immediately.
'642791138865381376'	That's embarrassing, Vandy. Georgia home game in your stadium.
'639761969260564480'	RT @BBCEngland: Model cricket ground made in memory of batsman Phillip Hughes who was killed by a ball  http://t.co/VIsGMyKgPa http://t.co/…
'640460297656885251'	#BREAKING: Australian cricket player #ShaneWatson has announced his retirement from test cricket
'642264014316244993'	Stadium toilet row fan's £4,000 payout: http://t.co/LUhexAQIYO
'642288246257397760'	Video:  Nippert Stadium stair run honors 9/11 victims http://t.co/6RBT9TSDlu
'645064308955742208'	RT @MontessoriWrite: The Andrea Coventry Daily is out! http://t.co/dd7fdl2O9r Stories via @FredRogersCtr @AndreaCoventry @CynthiaBenjamn
'640294992943153152'	Pre-game warmups have been suspended at Nippert Stadium due to weather in the area @uofcincy http://t.co/ZGBIOyqoVA
'642838622190878720'	RT @FCPolice: CSU game is nearing a end. Expect HEAVY traffic and road closures around Hughes Stadium until 6:00pm #DriveSafely
'641541284264456192'	After nearly seven years in court, Home Ministry to release Sarawakian Christian’s ‘Allah’ CDs tomorrow http://t.co/yRHVONGk6V
'639772931464130560'	Tribute to Phillip Hughes: Cricket fan hand-builds miniature stadium http://t.co/nYnOwGd5BM via @paknews
'639629171946196992'	T20 cricket returning to New Plymouth and will play at Yarrow Stadium http://t.co/nXxk6aCWF7
'640460297107468288'	#BREAKING: Australian cricket player #ShaneWatson has announced his retirement from test cricket
'639754816126894080'	RT @BBCSport: Seven months &amp; £2800 to build but Shaminder Singh's tribute to Phillip Hughes is completehttp://t.co/UOJ3XdSpla http://t.co…
'642886334948884480'	RT @CBI_Colorado: Developmentally Disabled Alert ACTIVATION - Kenneth Jewett - 9/12/2015. Last known location was Hughes Stadium in Fort Co…
'640805890128351233'	Seven changes likely to Aussie Test team http://t.co/81lzMu9uLX #cricket
'640461015096782848'	#BREAKINGShane Watson has announced his retirement from test cricket, effective immediately.Details in Seven News coming up at six
'639761741862281216'	RT @ETribuneSports: Tribute to Phillip Hughes: Cricket fan hand-builds miniature stadium http://t.co/FvA1t7abUl http://t.co/Fm3vNI8Ons
'640460297216528384'	#BREAKING: Australian cricket player #ShaneWatson has announced his retirement from test cricket
'646363633308401664'	In the deciding T20 game for the #mediaashes UAE Media 107/10 in 19.3 overs (Ajit B 3/18)vs India Media At the Sharjah Cricket Stadium
'639787650233278464'	Cricketer Phillip Hughes' death inspired this fan to think very, very small http://t.co/aLj7G8t9EL http://t.co/a5N3X2g898
'639633075731742720'	#BREAKING:NSW Government unveils plans to build 30,000 seat stadium at Parramatta, new stadium at Moore Park and redevelop Olympic stadium.
'644636948825567233'	@napplewhite6 Oh dear. Are you nearly home?
'645345331362664448'	@dps_pio_graves: "This is a painstakingly complicated investigation."
'645711075497775106'	#DowntonAbbey Carson-Hughes: awww....
'640467800788615172'	Australian Shane Watson has announced his retirement from test cricket effective immediately due to a calf injury.
----------
