With article id: 7ba01d52-a333-461d-bd91-a3bd9d5c043c and link: http://www.express.co.uk/sport/football/604700/Transfer-News-Chelsea-Pogba-Manchester-United-De-Gea-Liverpool-AC-Milan-swap
'640695064524525569'	Low unworried by Gotze´s Bayern troubles http://t.co/5L74AJQrvI http://t.co/N2Q2WCVKS1
'643457838958907392'	A wireless network to be tested in downtown #SouthBend ? Among other things, that is being discussed today: http://t.co/QnxigcJs6j
'639406611107291136'	How Hackers Are Bypassing Intrusion Detection. @DellSecureWorks: Attackers Exploit Legitimate Tools, Shun #Malware http://t.co/0534UjDmJj
'643519395013201920'	Not a cloud in the sky!
'638881045866250240'	RT @KimRobertson_9: Daniel Atkinson's "Breaking Bad" style clan labs were among the largest ecstasy-manufacturing labs police have found in…
'639492570356314112'	@StarFire2258 The cloud and the OS go hand in hand. You get to the cloud via the OS and its apps. If Tizen sucks, the watch sucks.
'643306697117855744'	RT @SimonOKing: Morning!  It's not a great start to the new week.  Plenty of cloud, showers and wind in the forecast today. http://t.co/mX2…
'648668855942926337'	am loving @BernieSanders
'646196492169015296'	#SCMP Legislative president Jasper Tsang to testify for defence over protesters’ intrusion http://t.co/DtfzDnVt1Y
'644099838561394688'	Sophos Cloud helps you manage endpoint security and mobile devices from one unified cloud console. Learn more: https://t.co/u1RwkyebQE
'646999283497963520'	Cloud Dataproc: Google’s new managed service for Hadoop and Spark http://t.co/Mo2Xfx0X3C
'645220829366648832'	Wireless, BBluetooth, great sound - the KOAR Bluetooth Cloud Buds, $24.99: http://t.co/qzGTTWbpCL http://t.co/743zzWSBuM
'642262300125065218'	Lahad Datu intrusion suspects have different intonation, language style, court told http://t.co/RJ6h13AsgS
'639769325436542976'	US military labs suspended after live anthrax accidentally sent to 194 labshttp://t.co/UcuwhaYNLo http://t.co/aTobCHIU7Y
'640893518567751681'	Cloud services fundamentally democratize IT and bring enterprise grade technologies to companies #howtosellcloud #cloud #sales
'646292022639243265'	Spice Digital Limited launches SpiceMudra, a prepaid payment #wallet focusing on domestic remittances and enterprise payments
'646982087367487488'	Pattaya Declares War on Crime: Footpath Intrusion http://t.co/gREA6A5nsD
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'643340094779166720'	Deploy a #golang photo archive in the cloud http://t.co/JrqiQ7D9fK
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'642108173399142400'	Probe of military labs expands to plague, encephalitis: The Centers for Disease Control and Prevention is expanding… http://t.co/YbosbKEc8n
'647364151656906752'	Cloud, mobility, analytics, social, AI, unified communications, digital design, n wireless comm have redefined architecture of organizations
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'646181542063120384'	3/ Warby Parker and Etsy are B Labs Certified companies. Kickstarter is also B Labs Certified. This is different from...
'640881655746420736'	@sashayub Reading Cloud Atlas and A Fish in the Water
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
----------
With article id: f0c1a6e3-3fbd-4dff-8d29-9b11a56f8658 and link: http://insider.espn.go.com/blog/eric-karabell-football/insider/post?id=3379
'645710434767507457'	Of all the crazy stats from Sat's #Gamecocks loss, UGA only facing four third downs might be most amazing.
'647011869597822977'	Tom Brady, Julian Edelman once had ‘crazy connection’ playing Jenga in Montana http://t.co/iUOtWMfiNA
'648278648194252800'	Is Rob Gronkowski the unexpected new leader of the @Patriots? http://t.co/uvXY1xH0HE
'642195322488360960'	Tom Brady carves up Pittsburgh #Steelers, who refuse to cover Rob Gronkowski http://t.co/5rDESrBcD6 #Patriots
'649230885833695232'	Brady: Trump claim of endorsement for presidency not true: New England Patriots quarterback Tom Brady says his… http://t.co/gifQF6dgIG
'642162304629534720'	Tom Brady is currently 8-of-8 for 80 yards and 7 first downs when targeting Julian Edelman.
'648215309166452736'	Tom. Brady. #Patriots
'643571742812831744'	Why Dion Lewis might be biggest offensive factor this side of Rob Gronkowski http://t.co/pkioiIHek1
'638989921986985985'	New England Patriots QB Tom Brady speaks publicly http://t.co/Vr22FQ5crp
'643548823458082817'	Lots of must-see TV tonight. The @Eagles season opener on @ESPN AND the #NinjaWarriorFinale on NBC AND a Trump rally in prime time
'642177139098451969'	Rob Gronkowski is the first player in NFL history with multiple games of 3 receiving touchdowns against the Steelers
'648122303482466304'	Don’t Blow It In The Last Week Of The Fantasy Baseball Season! http://t.co/cqQI7UwhJs #denver
'642304563127652353'	Mike Petraglia, Chris Price talk Tom Brady, Rob Gronkowski, big win, headsets http://t.co/aoGAER76zY
'641374943817695232'	final fantasy nine final fantasy nine final fantasy nine final fantasy nine final fantasy nine final fantasy nine final fantasy nine final f
'644225633405374464'	Trump becoming president 'would be great,' Tom Brady says: New England Patriots quarterback Tom Brady thinks “it… http://t.co/aIMPWB2uzD
'648370571982405632'	New England Patriots, Tom Brady enjoy record day in 51-17 win http://t.co/RwSNluvNbp
'639461020931653632'	RT @NFLDailyPost: Patriots, Rob Gronkowski celebrate Tom Brady ruling on Twitter http://t.co/XgtQMUKqKR
'642239161185996800'	Mike Petraglia, Chris Price talk Tom Brady, Rob Gronkowski, big win and headsets http://t.co/aoGAER76zY
'639666402761306112'	RT @ttwentyman: Four Downs: Job interviews conclude, blue-collar linemen and much more. http://t.co/ZwuALwk6XY
'642140935770492928'	RT @MCeide_WREG3: And the #1 Fantasy pick-up next week---Dion Lewis of the Patriots
'642180314450784256'	RT @ESPNStatsInfo: Rob Gronkowski is the first player in NFL history with multiple games of 3 receiving touchdowns against the Steelers
'643550591684206593'	As crazy as it seems, we’re already discussing stories for the end of the season despite season 4’s premiere date being over a week away!
'645387121847472129'	Cal just converted all four of its third downs on that scoring drive.
'645684993285615616'	#Patriots Brady connects again with Gronkowski. They're approaching the red zone yet again. #BillsvsPats
'639443116303368192'	Whaaaat? New England Patriots quarterback Tom Brady can suit up for his team’s season opener after a judge erased... http://t.co/sIXUixI9bI
'645680894213259265'	RT @Sarge985: Tom Brady with his 399 career Touchdown pass as Julian Edelman scores to put the #Patriots ahead 33-13 with 3:24 left in the …
'646771652991303684'	Brady, Edelman &amp; Gronkowski all on cusp of major statistical milestones #WEEI #NFL #Patriots http://t.co/TWH3BLNd2G http://t.co/kmez1Dw76s
'643263445048139776'	Jason Witten's 58th career receiving TD, breaking a tie with Rob Gronkowski for 6th-most in NFL history by a tight end.
'646391119144722432'	Four Downs: What we know, don’t know about AFC North, upcoming Browns opponents http://t.co/0we8Ab8VWh
'640648134842945536'	It Is What It Is » Julian Edelman not thinking about Tom Brady, focused on Steelers http://t.co/D4G2VMB5qR via @WEEI
'646853312885579776'	Carnival Fantasy returns to Mobile after four year absence http://t.co/9QUJaMGRjr
'645172494693826560'	Battle for 3rd: Pons-led FEU downs UST in four sets http://t.co/8mHOiOxtvN http://t.co/YIYoMRM3oR
'643265187806580736'	RT @ESPNStatsInfo: Jason Witten's 58th career receiving TD, breaking a tie with Rob Gronkowski for 6th-most in NFL history by a tight end.
'642150457780137984'	Touchdown Patriots! Brady finds Gronkowski again in the back of the endzone! Patriots lead 14-0. #NFLonWCNC http://t.co/PHD3YnCmm3
'639448512690696192'	New England Patriots quarterback Tom Brady has his suspension overturned. http://t.co/AkUe9ZUMwo
'645637012209307648'	#FOXNFLKickoff Fantasy Four - powered by @DraftKingshttps://t.co/VHEOGXdu0Y
'643268192320770048'	RT @detnews_sports: Four Downs: Calvin Johnson cast adrift in loss @jkatzenstein http://t.co/3IGX4yM5P0 http://t.co/iRKqF98NVQ
'642177096140328960'	Rob Gronkowski is the first player in NFL history with multiple games of 3 receiving touchdowns against the Steeler
'643382886419316736'	.@Matt_Finnis: One of the best things we've done this year is to re-sign our senior coach until at least the end of 2018. #SaintsBF15
'645657548310360064'	13th red-zone Rec TD for Rob Gronkowski since the start of last season, the most in the NFL
'643386679185702914'	#TVFact On this date in 1962 - 3rd season of "The Flintstones" began. The first show of the season was the first to be broadcast in color.
'645673581108719616'	Gronkowski catches a pass for 28 yards, allowing the patriots another set of downs. #BillsvsPats
'642333142167236608'	TV Ratings: Tom Brady and New England Patriots Lift NFL Season Kickoff http://t.co/cbfpw0TNnQ
'642152332743057409'	RT @sharontazewell: Touchdown! #Patriots #gronkowski #brady #deflategate #nfl @WNCN @NFL Score 7-0. #patriotssteelers
'642329497556131840'	Brady, Gronkowski lead Patriots over Steelers in NFL season opener http://t.co/P6VL1LZS0T via @MarkKaboly_Trib http://t.co/lzwVVAzM1v
'647011803604611072'	Tom Brady, Rob Gronkowski and Julian Edelman all nearing major statistical milestones http://t.co/TWH3BLNd2G
'642174013746323456'	RT @SportsCenter: GRONK SPIKE WITH THE SHIMMY! Rob Gronkowski catches his 3rd TD of the night to put Patriots up 28-14 on Steelers. http://…
'639470273322991616'	New England Patriots QB Tom Brady cleared to suit up for his team’s season opener. Fair? http://t.co/kiL0toihSd
'648283951073660928'	Tom Brady and the New England Patriots: 3 things we learned http://t.co/EsfvvgFVOv
'642271012596289536'	Tom Brady inspires New England Patriots to opening win http://t.co/om7N27RfHq via @IrishTimesSport http://t.co/v4lE8DntIq
'643456150759940096'	@MaajidNawaz @habibahamid Sure. But then there's degrees of provocation. This is on the extreme end of the spectrum.
'649207368836755456'	With bye weeks here, here's 5 tight end options in fantasy football http://t.co/mnwaZyEkDn
'643571317850009600'	Temple of Israel celebrates Tashlikh in downtown Wilmington: The Jewish holiday, Rosh Hashanah, began Sunday night… http://t.co/vOC5jgsy9e
'642135479345778688'	School re-named “Tom Brady Middle School” after New England Patriots quarterback http://t.co/Y1dmMrbt2C
'646869314583138304'	Four Downs: #Jaguars storylines to watch against Patriots http://t.co/mKtzqNnbnc http://t.co/VSyXq14leX
'642150011770437632'	Good night to have Gronkowski on my fantasy team.
'648460080875216896'	Julian Edelman happy for Tom Brady and his ‘unbelievable accomplishment’ of 400 career touchdown passes http://t.co/K1aM6Jh22l
'642150458107277316'	Rob Gronkowski now has 14 games with multiple TD receptions, one shy of the @Patriots record held by Randy Moss
'646754022729351168'	RT @RyanHannable: Tom Brady, Julian Edelman once had ‘crazy connection’ playing Jenga in Montana http://t.co/H5M6TJKfGh via @WEEI
'643424555386580993'	Non TV-critic / TV-biz tweeps: on a scale of 1 to Apocalypse, how much does the issue of "peak TV" matter to you?
----------
With article id: df884099-773c-4c66-a947-315e8c79ddc0 and link: http://www.freshnews.com/news/1128258/anchorops-becomes-member-american-association-of-political-consultants-aapc-
'644049813949038592'	@jmakumbi Money is securing the political consensus today under the weight of a huge political class.
'648063392536768512'	@Kunj_Shah We'll find a lasting solution.^JO
'646095079799685121'	Top Republican becomes first member of Congress to endorse Fiorina: http://t.co/5feoZJabvC http://t.co/d0GVp0frQv
'646012156987600896'	@LukeReuters the 2 state solution in dead &amp; was never the right solution
'642656054795485184'	RT @nicholaswatt: The technical description of @jeremycorbyn win is: biggest party mandate for any political leader in UK political history
'646055881742921728'	Should political consultants be allowed to lobby #pdx politicians? @commishfish looking at new regs http://t.co/sO1yZIzwJe
'646797162311843844'	LIVE on #Periscope: History on the walls of the American Hereford Association  https://t.co/LE3CiPTJ6E
'643376361801842688'	This PVO bloke on @SkyNewsAust is the Gus Gould of the political media #knowall
'640887819716661248'	Danish PM @larsloekke: 'The only solution is a European solution' http://t.co/GtSV6RTXsu #refugeecrisis
'643526131182903296'	Westborough bank robbed. http://t.co/IuiMUcmVd0
'647703554157776896'	@ultimape He's proposing a solution.
'643658203939647488'	RT @christopherhope: Margaret Beckett on signing @jeremycorbyn's leadership form: "I probably regard it as one of the biggest political mis…
'638655413525827584'	The Medical and Dental Association Consultants of Nigeria has called on the Federal Ministry of Health to clearly... http://t.co/nLYM17MMff
'642671159180460032'	RT @nicholaswatt: The technical description of @jeremycorbyn win is: biggest party mandate for any political leader in UK political history
'648863683947438080'	.@jasoninthehouse: over the past 5 years, #PlannedParenthood transferred $22M from its 501(c)3 to 501(c)4 orgs. This is political activity.
'640812289206185984'	Federal Republic of #Germany becomes new #clearing member of EurexOTC Clear @EurexGroup: http://t.co/HypcnfbAer
'649117169503047680'	Are the political and media classes about to make a third mistake? #EUref http://t.co/WDUnX9ud25
'640805028765265920'	Media freedom has seen the most horrendous since the commencement of the political crisis in Yemen
'643802367935283200'	Is crime coming back as the political wedge issue it reliably was? https://t.co/AspfQRcWDI
'649100350067183616'	What is the solution?
'644695090863058944'	Chair Ferrer: The purpose of the BBL is to establish a political entity and to provide for its basic structure of gov't.
'639040556065120261'	I will Lift The Image Of Krobos - Aspiring MP: The aspiring member of parliament for the ruling National Democ... http://t.co/wik2v7hdCz
'643414996169424896'	Trump 2016 as long-term employment program for political consultants https://t.co/TuenralAEm
'643811028178874368'	#Assad says political solution possible when terror defeated: Russian media http://t.co/lusSRdzo2b
'638680159441321984'	RT @shiraschoenberg: Robert Harnais becomes first Hispanic president of Mass. Bar Association http://t.co/nb802sAGg7
'640115317268717572'	.@nicolaheaton: Devolution needs to be more of a shift in bureaucrats and bring a very political approach to it #progwm
'646872441495515137'	@RobStutzman Sounds like a win-win for political consultants and reporters!
'647041883571531776'	#SouravGanguly becomes Cricket Association of Bengal's president.. CM #MamataBanerjee announces... http://t.co/LzXliMXGwT
'643673930469765120'	RT @DRMAction: It takes a certain boldness to push against the biggest blowhard in the political business today http://t.co/H3NYsoOUAD
'642667621326917632'	RT @nicholaswatt: The technical description of @jeremycorbyn win is: biggest party mandate for any political leader in UK political history
'647331714088329216'	#Armenian church and #Getty in "amicable solution" over 13th c. manuscripts https://t.co/gLA6Ke7QV1
'640929389119696896'	#RefugeeCrisis: The migration solution is a humanitarian solution http://t.co/It3CAKnDJc #RefugeesWelcome http://t.co/rxSZ6d7Fgt
'644632998495821824'	@jonnyevans_cw he and Corbyn are using a sort of political ju-jitsu on the political "ordinary".
'640887843502600193'	Danish PM @larsloekke: 'The only solution is a European solution' http://t.co/gLEZBvlR5W #refugeecrisis
'639680706529087488'	RT @USAmbIndia: Delighted to meet w/the American Association of Physicians of Indian Origin &amp; learn more of their work in India &amp; US http:/…
'643760211338002432'	Political historian describes some candidate selection as "political sloppiness.": Both major political partie... http://t.co/L4dbv2LPRW
'644113263974678529'	The long and current history of American political populism — today 11/10c. http://t.co/ajjNW6j7uM
'639457007452315650'	Social Media and Offline Political Participation: Uncovering the Paths From Digital to Physical http://t.co/mnVDbahT5W
'642650614565105665'	RT @nicholaswatt: The technical description of @jeremycorbyn win is: biggest party mandate for any political leader in UK political history
'647572530492915712'	Lloyd B pulls out of race: Member of  Parliament for St. James Central, Lloyd B. Smith, says he decided to pul... http://t.co/5Ma6FeJlSU
'643752167686451200'	@alokpi First time I'd heard of it when the guy told me. But clearly a thing in political circles.
'641441399364194308'	Thanks to the media/political obsession with ISIS, people now believe that it is a greater threat to the lives of Syrians than Assad is.
'640046384025083904'	It is essential for us to have clear political competitions free of insults, violence and cheap political games.
'644500950351114240'	@schwa solution: stop writing bugs.
'646737765409943552'	RT @Vusani_: She is the founding member of the Pan African Association of African Medicinal Plants standards. #Ameenah101
'644566413433303041'	Julie Killian: Rule 53a is indeed a matter out of the ordinary for a member of Parliament to be removed @ANN7tv #ANN7Prime #Dstv405
'639848902783598592'	The migration solution is a humanitarian solution http://t.co/It3CAKnDJc #RefugeeCrisis #RefugeesWelcome http://t.co/RZQTWzOtHv
'643850889963438080'	Obama has joined the fray on the new political correctness. He warns against "coddling" college students http://t.co/oWADIQGFbT
'646614990426800128'	#BreakingYadupati Singhania of #JK Group becomes new president of Uttar Pradesh # Cricket Association.
'643572883986354176'	@ericlaw Iteration rather than solution
'640900332193775616'	The  American Library Association Lost Control Of Their Facebook Page This Weekend http://t.co/5zt9eY2w93
'643897081447456768'	NCHELENGE PF member of parliament Raymond Mpundu says the mismatch between the earnings and the demand for... http://t.co/JiEpQ2aB3Z
'645977627195502593'	Proposal by @SenatorPileggi would require disclosure of donors to 501(c)4 political groups http://t.co/lPqvIbubZk @PittsburghPG
'643138164207525888'	RT @nicholaswatt: The technical description of @jeremycorbyn win is: biggest party mandate for any political leader in UK political history
'643934782276014081'	With each day of political coverage - traditional media undermines Corbyn's future and its own.
'642786277843185664'	RT @nicholaswatt: The technical description of @jeremycorbyn win is: biggest party mandate for any political leader in UK political history
'645880913604251648'	@Rezajann I can answer only easy questions -- means member of parliament.
'643705291373047808'	Student asks Binay:Where do funds for your political ads come from? Is it paid for by the Office of the VP? Binay:I never do that, excuse me
'643760620882534400'	@chinnyhill10 @IanDunt he's the leader of a political party.
'646440386223669248'	Association of American Universities Unveils Campus Sexual Assault Report http://t.co/XyCs8gKYkC
----------
