With article id: c8005766-131a-441a-bd69-00adaa3901f7 and link: http://www.watoday.com.au/environment/conservation/environmental-philanthropist-rob-purves-warns-that-green-groups-under-attack-20150918-gjpavd.html
'644301013155876865'	Riveting group shot here
'639882319646494720'	Groundwork for summit: Head of Japan's coalition party plans trips to China, South Korea http://t.co/WUHLQ3jTg5 http://t.co/PXc2qNJBFU
'638661028553756672'	#Pakistan annual #inflation rate fell to 1.72 percent in August from 1.80 percent in July, lowest year-on-year inflation in over 12 years.
'640166612545310720'	RT @japantimes: Japan wins Asia-Pacific popularity poll despite mutual distrust with China, South Korea http://t.co/81YJcalQVf http://t.co/…
'639781798273265664'	News update: China cosies up to South Korea as Kim skips 3 September parade http://t.co/MSraxNEv0i
'645500190976253952'	Taiwan's export orders expected to show drop for 5th straight month http://t.co/47hVFDToO5
'646789917314433024'	U.S. #exports of agricultural and food products to #SaudiArabia in 2014 reached their highest levels at $1.37 http://t.co/RaEnZH2OkZ
'638634407843250176'	South Korea's exports plunged 14.7% in August from a year earlier #China http://t.co/90sRkcx2fP
'641103131607179264'	China Jan-Aug exports to South Korea down -0.1% y/y, imports from South Korea down -7.3%, trade deficit with South Korea down -15.9%.
'641077365192310784'	#ChinaTradeData: August exports fall 6.1% in Yuan terms YoY; imports fall 14.3% in Yuan terms YoY.
'648437193493598209'	*IRISH RETAIL SALES RISE 9.3% IN AUG. FROM YEAR EARLIER
'638641871636578304'	U.K. manufacturing growth slowed in August; export orders fell for 5th month http://t.co/iZmJSCUU0K
'642948843311525888'	China August factory output up 6.1 percent year-on-year, below forecast http://t.co/VrL3gskpX7 #Finance
'639400515575644161'	3-0 South Korea #WCQ #KNT
'639250137059995648'	South Korea Looks to Arctic Region for Energy Sources - Ambassador: South Korea has expressed interest in the ... http://t.co/TYbhLcBo4u
'638640136494813185'	RT @FerroTV: South Korea's exports plunged 14.7% in August from a year earlier #China http://t.co/90sRkcx2fP
'647960774191616000'	#Vietnam authorities urged to ease import/export quarantine procedureshttp://t.co/Wi45rk2jtG http://t.co/01sswU2IWl
'645851774251741185'	India's Growth Expected to Top Last Year's, Hit From China Minimal: Finance Minister http://t.co/ppk0UMyFi6
'645311818743873537'	Republican job killers and the Export-Import Bank:  http://t.co/7mhzzSeiJk http://t.co/Ipo1NGewoH
'639281193146519552'	Nigeria to export 68 crude oil cargoes next month -  http://t.co/M6q7GEd815 http://t.co/GDeP0yu1QR
'644317715411238912'	Singapore's NODX falls 8.4% year-on-year in August: The decline in non-oil domestic exports is due to a contra... http://t.co/gqp0rZVnso
'638559267214135296'	South Korea's warming ties with China further isolates North Korea. http://t.co/DpsbztQOvx http://t.co/etMJyPxT8E
'645844478104764416'	Growth expected to top last year's, hit from China minimal: Arun Jaitleyhttp://t.co/xpglsqfC7e
'641110606024568832'	North Korea and South Korea plan to hold family reunions next month: North and South Korea agreed Tuesday to h... http://t.co/qgMjf4PDtd
'643320716994048001'	#india #business : Wholesale prices plunge 4.95% year-on-year in August: The fall compared with a 4.40 percent... http://t.co/gwtVI5nPRW
'645925477543211008'	Japan’s exports to China fell 9.2% in August from a year earlier | Read @Aligarciaherrer at http://t.co/l97D3Qr13w http://t.co/rEXqwbPGto
'642699787540672512'	@gwendolbowling China is not south Korea
'643767942870511617'	August Trade Data Latha's Take: Export Decline Indicates Poor State Of Global Economy @Latha_Venkatesh
'642667608983085056'	GE reportedly nixed Cincinnati for new HQ over Export-Import Bank fight http://t.co/5EKX6TfrID
'642126513299656704'	Stakeholders meet on Wildlife Import and Export Bill http://t.co/sAtIyUiIS8 http://t.co/mHiH789ZJm
'640022863215353857'	S. Korean Shipbuilders Outperformed by China, Japan in August http://t.co/g6skylEgDc
'639737886024273920'	Japan wins Asia-Pacific popularity poll despite mutual distrust with China, South Koreahttp://t.co/f6f9GlvGqs
'641416868637511684'	RT @Marketplace: Chinese exports were down 5.5 percent in August. http://t.co/gkTLN3vBrG http://t.co/eB4RYjL02F
'646000181352071168'	US existing home sales fall in August: Sales of existing homes in the United States fell in August, and no reg... http://t.co/RwVrtDZw4H
'644406073911197696'	Singapore's NODX falls 8.4% year-on-year in August: The decline in non-oil domestic exports is due to a contra... http://t.co/dRwXNPkt3n
'640343868760702976'	S. Korea's auto exports shrink for 2nd straight month in August http://t.co/RUeLmEa6wI
'645755574588735488'	On the Export-Import Bank, the Numbers Come First http://t.co/i7a6h8yAc7
'645792340305559552'	On CNBC-TV18 JPMorgan Asset Mgmt: India's Exports To China Lesser Than Other Asian Countries
'644421846083969024'	Japan's export growth slows for a second month http://t.co/Vtohc0mygX http://t.co/jo5C0DDZGf
'640007091231457280'	South Korea Ready to Cooperate on Russia's Far East Development - Minister: South Korea expresses readiness to... http://t.co/6av3H1GNwr
'640029399841042432'	Export-import activities at Benapole halted http://t.co/MLZdCrr3N5
'639281231985709058'	Nigeria to export 68 crude oil cargoes next month http://t.co/M6q7GEuISD
'645281653074427908'	Bill to lift oil export ban may come late this month http://t.co/3WYb2t89sM
'643800944086548480'	RT @Pavlenko_OM: Ukrainian exports to #Russia have dropped to 2 percent, while exports to #China doubled to $889.7 million over the first 7…
'641086004489662464'	Mainland #China's imports, exports fall in August http://t.co/4dXHxUkRLH
'646137444484583424'	Economists Predict S. Korean Exports Likely to Fall 4-6% in 2015 http://t.co/RD4mLCWt6M
'639093861650817024'	South Korea says 3-way summit with China, Japan may happen in late Oct. http://t.co/bPyJ8o80CF
'639014003654561792'	Leaders of South Korea, China voice against provocationshttp://t.co/bBn6mRHrqt#박근혜 #NorthKorea #China http://t.co/NAdOFxTY0R
'645779577176899584'	S. Korea's farm exports plunge 9.3 pct on-year in Aug. http://t.co/MJgXyJSkjM
'643979120494272512'	Indonesia's exports up 10 percent in August http://t.co/1hJ6tkWZpk
'644160564957200384'	Foreign Minister Rodriguez: The blockade impedes export and import services.
'645938886410047488'	Biodiesel Exports of Malaysia falls by 65 % in August on month-to month basis .: Intertek presented a similar ... http://t.co/7UBAuqIHMB
'639395919318884352'	2-0 South Korea #KNT #WCQ
'643778305334730752'	Import duty shrinks gypsum export http://t.co/adSdZ1XSLl
'639281199987429376'	Nigeria to export 68 crude oil cargoes next month -  http://t.co/M6q7GEd815 http://t.co/LOPMEcImkb
'646019445144592384'	Man to front Bendigo court over alleged murder of three-month-old girl in August. http://t.co/idTnMyLpOo #9News
'638557111878705152'	Exports Fall for 8 Consecutive Months, Down 14.7% On Year in August http://t.co/y5Qc4Wo6Ql
'644378087468236800'	Decline in Indian mackerel catch causing export losses http://t.co/FIugwqkngC
'647348322944946176'	South Korea: Kimchi Crazy @AJEnglish  http://t.co/O4G3EskiZa So much food! #South_korea #Korea #BJ_Fitness_Fairy
'641955273037475841'	The US is officially importing deflation if you look at the import/export price numbers
'645933021145595904'	Taiwan August #export orders fall by 8.3 percent year-on-yearhttp://t.co/EwTeVm85xE http://t.co/E5pivy1NBy
'640731242321743873'	Export-import gap up by Sh115bn http://t.co/jVhOvsI5bL http://t.co/ig4ZeNvQxf
'639777959847559168'	RT @reijiyoshida_JT: Japan wins Asia-Pacific popularity poll despite mutual distrust with China, South Koreahttp://t.co/f6f9GlvGqs
'640727966960349184'	North, South Korea discuss resuming reunions of families separated by war: North and South Korea have started ... http://t.co/gzi3G51QPo
'638652458776981504'	Meanwhile, @WilliamPesek of @BV says South Korea and Philippines are two big winners from China's big slowdown http://t.co/uMnC9HNjdX
'641952376853626882'	US Data Watch: August Export Prices Down 1.4% Vs 0.4% Decline (MoM)
'645793908400746496'	RT @gregorhunter: Just in: MNI China Business Sentiment Indicator for September falls to 51.3 from revised 56.0 in August
'640102160844353536'	"Is China Tilting Toward South Korea?"  http://t.co/SZijkEIQ2G
'647076026896400385'	US new-home sales surge 5.7 percent in August to 7-year high http://t.co/eyYDQrOlht
----------
With article id: ef972152-a7fb-4823-9895-62be487d9eaa and link: http://www.iol.co.za/no-problem-with-pharrell-protest-1.1918754
'646197530590511104'	Pharrell protest successful despite small turn up says BDS: Boycott, Divestment and Sanctions (BDS) movement s... http://t.co/VI1vX5C3Q2
'639050309713707008'	RT @MikeWJZ: Unneeded protest signs, reporters listen to court rules, Ten #FreddieGray protestors total. @cbsbaltimore http://t.co/XYclQGGr…
'649236395748401152'	RT @ANN7tv: Pharrell Williams &amp; his book publisher have launched a "Happy" campaign for young readers #DStv405 #entertainment http://t.co/9…
'639130126555447297'	Protest update: https://t.co/qQ1Fgm6m0Y
'649176105266581504'	Protest https://t.co/86N5jYrw6w
'645616260370165760'	Live from Gemayze, protestors marching to join the larger protest in Martyr Square #beirut http://t.co/outoQ1ka8n
'646189487828152321'	Boycott, Divestment and Sanctions (BDS) movement says their protest at the Pharrell Williams concert in Cape Town... http://t.co/toz0L4BdK4
'645196419754758144'	Student body to join protest against Pharrell Williams concert http://t.co/M4hzqcaVzv http://t.co/vSqmdInY3V
'645639828030160900'	Full steam ahead’ for protest at Pharrell Williams concert http://t.co/iOvdXPOQ1U http://t.co/4LASIbwNk1
'644043553081954304'	Activist of the BDS Movement have threatened to protest outside Pharrell Williams’s upcoming Cape Town concerthttp://t.co/NqKf9MzfoJ
'645828594317533184'	eNCA | Thousands to protest against Pharrell Williams and Woolworths http://t.co/4pTAJHfgdE http://t.co/utfQ0ZMLMg
'645859035523248128'	Pharrell protest will make history – BDS http://t.co/1Don4uE0AC
'645986713106554880'	BURKINA FASO PROTEST - Protest against proposed solution to crisis. See Media Port No.4004893
'645494186351947776'	#PharrellWilliams Pro-Palestine pressure group BDS has welcomed the Western Cape High Court's decision them to protest outside the concert.
'645841965662269440'	RT @BrandtKev: The BDS(Boycott, Divestment and Sanctions) Movement #PharrellProtest set to start at 15:00, outside Grand West Casino this a…
'645409135593422849'	Pharrell Williams to face 16 000 protestors during CT concert http://t.co/v5cs5KpEOs
'644441956173639680'	Pharrell Protest scaled down from 50 000 http://t.co/GXBpE0rQaA
'645958613513560065'	US singer Pharrell faces BDS protest at South African concert http://t.co/zyMBO58986 #palestine
'648157688191283208'	DID YOU MISS THIS: Pharrell Williams shakes up The Dome (Photos) http://t.co/Ka756dbNUE http://t.co/F0LX2kPULB
'641075177866985472'	@Nicolette_O Thanks!
'647026051391074304'	The boycott, divestment and sanctions movement advocates for liberation from oppression, not reform http://t.co/jxZe8XAhEy
'638853593454481409'	RT @JeffAbellFOX45: Protestors are in overdrive creating signs and hitting the phones before tomorrow's courthouse protest. http://t.co/gKB…
'645944357380616192'	#Pharrell Kekana: We are delighted and excited, we have a lot of people coming to the protest.
'646237543743094786'	2000 People turn up for Pharrell protest http://t.co/7yQG5lEwwl
'644075541679751169'	RT @DrumMagazine: Activist of the BDS Movement have threatened to protest outside Pharrell Williams’s upcoming Cape Town concerthttp://t.c…
'644430813304500224'	BDS Protest scaled down from 50 000: Boycott, Divestment and Sanctions Against Isreali in South Africa (BDS) h... http://t.co/4qkqlBR0Pe
'645507768544133121'	Full steam ahead’ for protest at Pharrell Williams concert http://t.co/iOvdXPOQ1U http://t.co/VWrveSJRVW
'645851955290632192'	Thousands expected to picket at Pharrell Williams concert| http://t.co/Z6no64LRYA http://t.co/ZoUZXqdg53
'646035639557836800'	Protest by pro-Palestinian supporters against Woolworths-sponsored concert in Cape Town of Pharrell Williams seems to have flopped
'645839890194767873'	Pharrell protest will make history - BDS http://t.co/8Wi0ZWzawt
'640131958434045952'	#Stabbing The police's Frederick van Wyk says no arrests have been made yet and the investigation continues. MM
'638710974808129536'	Protestors set up speakers to communicate with protestors through the windows  #youstink http://t.co/v55x10GKxG
'646430873022267393'	In pictures: BDS vs. Pharrell Williams http://t.co/WaLm4wpuaZ
'645832712390053889'	RT @etvSunrise: Thousands of protesters are gearing up for a massive showdown at the Pharrell Williams concert tonight.  #eNCAheadlines
'645880174622474240'	Pharrell protest will make history  BDS http://t.co/6MqPz3w0P1
'647607153491083264'	In Brooklyn, a protest mural draws its own protest http://t.co/RRcfzfKELG http://t.co/NDklk1EliJ
'639222647021260800'	Apple Protest https://t.co/ZYo6HS1gyj
'648610579347845121'	@Blackbird_2 It's not a protest, really (though there are some protestors), but steer clear of Simcoe.
'649236395790348288'	RT @ANN7tv: Pharrell Williams &amp; his book publisher have launched a "Happy" campaign for young readers #DStv405 #entertainment http://t.co/9…
'646170998836850688'	#PharrellProtest Protest against Pharrell Williams concert. http://t.co/jxHwDLRv74 http://t.co/KYJBprB7lb
'645619941270417408'	Bid to limit Pharrell protest fails http://t.co/EZX46TKBgX
'639084119654309888'	RT @guerilladun: "Protest is disruption, protest is confrontation and protest is the end of silence!" - @deray on the @CombatJackShow #nail…
'639123073774432256'	RT @guerilladun: "Protest is disruption, protest is confrontation and protest is the end of silence!" - @deray on the @CombatJackShow #nail…
'645955587591786497'	VIDEO | Latest on the BDS, Pharrell Williams concert protest: Mariska Botha http://t.co/dIhVlXeZmQ
'643653514628046848'	RT @salmananwer3: #NoFeeTillLowFee protest at PressClub 4pm#EducationalVictimisation Do record ur protest@akchishti @Shahidmasooddr http…
'646629916742696960'	The boycott, divestment and sanctions movement advocates for liberation from oppression, not reform http://t.co/7c3RMPOXRq
'645839913766756352'	Pharrell protest will make history - BDS http://t.co/qCx6rgplHW
'646789936469798912'	The boycott, divestment and sanctions movement advocates for liberation from oppression, not reform http://t.co/BRoQMU5kPq
'643794112458682368'	#PharrellConcert BDS Kekana: We are going to have one of the largest protest against Pharrell’s concert as he collaborates with Woolworths.
'645839855692460032'	Pharrell protest will make history - BDS http://t.co/trQz8mMrzb
'642113096199221248'	Newspaper journos stopwork to protest Buzzfeed / TV industry stopwork to protest YouTube / Australia Post stopwork to protest email #uber
'644060070033117184'	RT @SunfoilDolphins: Divan van Wyk models the new look @SunfoilDolphins @TK_SportswearSA kit before his workout @PrimeHPI #DolphinsUntamed …
'641170680847966208'	Protest at Kaitaia Airport - More than 40 protestors occupied the Kaitaia Airport today disrupting flights to the ... http://t.co/xnleTC3M0j
'645944189839147008'	BDS spokesperson Kwara Kekana says they are excited about the protest at the #Pharrell Williams’s concert in Cape Town today.
'646219925858689024'	2000 People turn up for Pharrell protest http://t.co/Qx9hyM7FKb
'644105010637348864'	#Pharrellprotest The company wants to limit the number of protestors who will picket outside the venue.Activists want the 50 000 protestors.
'646578547444871168'	The boycott, divestment and sanctions movement advocates for liberation from oppression, not reform http://t.co/sB3zWE0TVY
'644469654245801984'	Pharrell Protest scaled down from 50 000 http://t.co/EfkrQMDa9D
'645922604889477120'	#BDS members are expected to protest against #Pharell's  partnership with Woolworths over imports from Israel at the Grand West Casino.
'639820914490609665'	Obvious decrease in the number of protestors from the previous Fridays in today's protest at Tahrir. #Baghdad #Iraq
'648437038019158017'	US star Pharrell Williams's shows in Jo'burg and the Cape wowed crowds while simultaneously caused controversy: http://t.co/jTiO3REXi4
'644407350883815424'	Protestors from Dhiqar governorate arrived in #Baghdad today to protest against government's corruption. #Iraq
'644253323437191168'	RT @nathanielcary: Protestors march toward Tillman Hall at Clemson University in #reclaimoldmain protest. @GreenvilleNews http://t.co/oDCin…
'639507747038363648'	RT @Claudioula: A1 @Nicolette_O #CultureTrav tough call. I like all. If it is man made immersed in nature, then it's perfect. http://t.co/9…
'640809318401581056'	1000s of famers protest at EU HQ to protest slumping prices http://t.co/P5lm0YlyjT
'645848187190833152'	The planned protest by the pro-Palestine BDS movement against Grammy award-winning artist Pharrell Williams’s... http://t.co/37jyBbbalB
'643793972549287936'	#PharrellConcert BDS spokesperson Kwara Kekana says the protest will continue as it is legal.
'645841965754527744'	RT @BrandtKev: The BDS(Boycott, Divestment and Sanctions) Movement #PharrellProtest set to start at 15:00, outside Grand West Casino this a…
----------
