With article id: 8b31120e-d654-45b4-a5df-8fef674339d8 and link: http://investor.wallstreetselect.com/wss/news/read?GUID=30678534
'645560951295606784'	Good morning. ATL-NYG. MetLife. #nfl http://t.co/78G4Jd2xii
'646326251515441152'	How do you take down a $20 billion black market and save the rhinos with a 3D printer? Like this. http://t.co/v4yfJXDRGw #WorldRhinoDay
'646807416663879680'	#NCAT regrets to announce the death of staff member, Jonathan Riddick, a technology support technology in the School of Technology. +
'647073517502992384'	New Post: Where to Swap Baby and Kid Clothes and Toys in NYC: Clothing and toy swaps are such a New York City ... http://t.co/kB73DsGaJR
'642152202878844929'	What will they do, play New York, New York? https://t.co/eD0tMukmPE
'642996254243483648'	Repost by @limasocialdiary in alexanderwangny outfit @ Pier 94 New York, New York 10019 https://t.co/M8ECa0BTDi
'647974430283403265'	@siddarthpaimThere are many kinds of #startups ! A franchise Technology Applier  Technology AdapterTechnology CreatorDisruptor
'641626291255377920'	3D-printed mooncakes to hit the market with #MidAutumn Festival around the corner https://t.co/EfW0BVO9wI http://t.co/qAQPQRt351
'643294691849474048'	The customer, not technology, is the most disruptive thing in the market today #digitaldisruption #tech @LoriRMixson http://t.co/ANep27Xf3F
'646336471352389632'	 @ New York, New York https://t.co/nHtOjxFedp
'644893366380068864'	@adacosta we have the technology!
'647165311406501888'	Visiting @nudiejeans in New York to hear about possibilities and  challenges doing business in the US.
'647904268167610369'	@Sean_Michael_UK @tomwarren but it's 3D!!! And everything "3D" has been successful in the past.... ((Awkward silence))
'638886026174312448'	"Name Honor's new smartwatch and you'll receive future products for free until 2020" http://t.co/XZB3i0xWue
'649047992780095488'	@jlangdale and which bear market? The U.S.? Not a bear market in U.S. Yet
'644670692995284992'	New York, New York http://t.co/iLCVvtBvjC
'638707671542177792'	RT @brownfield: Working to preserve technology - http://t.co/N5hodiLkIo  #agnews #weedresistance #weedmanagement #technology #ResepectTheRo…
'646203386187120640'	@TechCrunch beneficial technology
'649183951567888384'	Market update: Indices surges led by strong global cues and positive micro
'646849502880636928'	Video: Happy #Empire premiere with Lee, Mariah &amp; Maxwell. (at New York, New York) http://t.co/5Ztg84U6tw
'639920429793157120'	Lexington's Night Market draws local vendors and big crowdshttp://t.co/LwojV8RUzx
'648379646820532224'	@courtwhip @dollymag Special hoodie technology
'638574796360384512'	Report:  Asia-Pacific C-Arms Market Trends, Medical Imaging Technology Report, Forecast ... -… http://t.co/LrnIB7mGo2 #AsiaPacific
'644695515268055041'	@teknetia Damn technology.
'641847347446595584'	Vegas Eats: Tom's Urban at New York New York http://t.co/qyxH3F3Gil #vegas
'643425842622787584'	NEW Blog: What makes Wunderbrow better than other eyebrow enhancing products and solutions? http://t.co/5ShSKTQJ2X
'644046267228770304'	EU market prices for representative products (Sept. 2015 edition) see "just published": http://t.co/iDlyhKzo67
'647048427747057664'	The 24-year-old @youngthug is quite publically in the process of becoming: http://t.co/9QHkoWEGpw
'639092761493422080'	Genesus Global Market Report, EU and Spanish Pork Markets, September 2nd 2015:... http://t.co/gOpl9qzlhp
'646998069859479552'	Deputy President: Arts and craft products, made by residents of Limpopo have a huge market locally and globally  #HeritageDay #MyHeritage
'642884169740222464'	#AlexanderWang 10th anniversary  @ Pier 94 New York, New York 10019 https://t.co/xSmyGRYrVF
'644114890542710784'	@RandallNortham Diversity of view always healthy and to be welcomed in the market place of ideas
'641166841323229185'	G-Technology Expands Evolution Series With Four New Products http://t.co/EeeqGPCUsi by @julipuli
'643237227552731136'	Q8: How might those in the cultural minority as entrepreneurs gain an advantage in global market of tech products? #yeswecode
'640816362055692288'	The customer, not technology, is the most disruptive thing in the market today #digitaldisruption #tech @LoriRMixson http://t.co/RmTripNNtp
'647102563788136448'	To be part of an organisation that's making the world work is an important motivator for why employees go to work #socialgood @GSK
'646982336458981376'	RT @unmannedcargo: Smart Commercial Drones: Market Shares, Strategies and Global Forecasts http://t.co/OXSCM4N9r9 http://t.co/Kp79FEmOZT
'643515068878032896'	@31philliplim @ Pier 94 New York, New York 10019 https://t.co/g7gveUx2ik
'643366749312811010'	RT @KellenTV: @facebook is working on 3D technology! @ErikaWCVB has the details next on the #Eyeopener #wcvb
'649346125967683584'	Report:  Asia-Pacific Online Gaming Market 2015 - Reportlinker Review - MarketWatch http://t.co/sSlAWrNLW3 #AsiaPacific
'639151318628761600'	By technology I guess he meant 130 year old technology. https://t.co/PkoSE3fumC
'643515072178987008'	Video: @31philliplim (presso Pier 94 New York, New York 10019) http://t.co/pgRTWf02JN
'641770712127152129'	#FF @SenSchumer and those photos with New York food products
----------
With article id: 515400c5-967c-47ce-9028-f46ffa6d2370 and link: http://www.topnews.in/both-sides-allege-publicity-playing-role-wave-felony-marijuana-charges-2405307
'638897143583916032'	I have this feeling that in the heart of hearts of not a few bishops, priests, brothers and sisters, they also pray that #LoveWins in PH.
'649229534013845504'	"We see a growing role for the consuls on both sides of the border." @ErikLee #BorderIndustries
'642082536466747392'	@takhalus mixture of BS on both sides
'648417973791780864'	RT @business: High costs and "challenging" regulation behind Shell's decision to halt Alaska oil drilling http://t.co/Nw0ltfFPzd http://t.c…
'646684756894093312'	RT @asoueif: 3. Remember that they should not have been in prison in the first place and that they have been robbed of months/years of thei…
'646083503176548352'	Owners of marijuana-related businesses, groups face felony drug charges http://t.co/ZM57fZVioZ
'646975211833851904'	Homelessness in England up 5% over last three months according to official figures released by the government http://t.co/zWcQ2hYGFj
'647335263115460608'	Government launches new hardware procurement panel: The Department of Finance has launched its whole of govern... http://t.co/pXWr6kq13A
'647175683605721088'	Cornell officials said they will follow the law, not recognize the graduate union, if the law changes the decision is the students' choice
'641628259810066432'	Basically playing it safe from both sides https://t.co/GUUdrjGoDZ
'641916999564525568'	RT @NatadeCocoloco: @josungkim Do they not know that the logo is marijuana? And pretty sure the effects of marijuana and soju are worlds ap…
'647331718622486528'	Informative first meeting in #Garforth this morning, talking business regulation at John Hornby Skewes. A great local business.
'647151356210319360'	@larger_picture @rohitpatelsr I was in India for only a few months during the Emergency
'640988977579732992'	University of Alaska state-wide president could get up to $75K performance bonus http://t.co/iUF1Lssq5r http://t.co/nF4fEkF6nF
'646885815792959488'	The Chief Justice notes that in a few months, there will be electronic courts in Tacloban.
'638535366518005760'	#Peace = Rule of Law = Justice, and the equation goes beyond to include what stabilises relations among individuals so they work together.
'640988759895371776'	University of Alaska state-wide president could get up to $75K performance bonus http://t.co/iUF1Lssq5r http://t.co/vRCwLPvdn3
'646048293252820992'	Teens Face Felony Pot Possession Charges Owing To Change In Wash. Law: Recreational marijuana use is legal in… http://t.co/3yBs3npcu2
'642783499276058625'	Higher Education 101: Jim Johnsen lays out his plans as the new University of Alaska president http://t.co/AISp53506Y http://t.co/7fg9WlEaz7
'647793527024451584'	Daniel Sturridge back in business https://t.co/YaQTYT3GM0 (via @footmercato)
'642253104084328448'	It's that time of year, the cricket season is coming to a close, which means we have a big SALE on in the Club... http://t.co/P8IZDMLomK
'643863491284193281'	" Possessing marijuana can be a felony under federal law; outrageously, trafficking guns is not." @MartinOMalley @CNNOpinion
'646898289825185792'	The @Pirates are up by a touchdown and #Buctober is just three outs away! #GetReadyToPopTheBubly
'646963843810332672'	The US Department of State, everybody. https://t.co/JZOM1axybC
'644158076233236480'	RT @Jamie_utv: Cerberus say they have a copy of the submission prepared by Tughans for the Law Society. Why were they entitled to that docu…
'646867737227100160'	RT @ZachHughesAK: As felony charges on #marijuana biz's rain down, both State and those charged say it's all about publicity @aprn http://…
'640697883663007744'	Toth: Wheatland police should hear both sides on medical marijuana debate http://t.co/PmCnJxp9i9
'646074529421258752'	Charges reduced for six Washington minors hit with felony marijuana possession - http://t.co/YuAmGEmv5l #marijuana #thepotblog
'648662028375212032'	@nickh_bc and I have heard from the FM of the time himself that for months they were looking for an excuse to shut it down.
'640094128236183552'	Home-based business in Kuwait in need of regulation -- official http://t.co/w3Zj20XaFm
'648523055816441857'	RT @VivaRevolt: @Elizrael they are not that close to it,but important hills and farms have been liberated that were a part of the 90th brig…
'649328575619985408'	Three facing felony charges in Glenwood shooting http://t.co/HIMtFX3vGI
'639195343540867072'	The fascinating politics of pot regulation - in CA, small growers also worried about big business monopolies https://t.co/LVGcwSucy3
'643814257595916293'	The heart of legal practice - a wise post about the value of law libraries, by @markgould13:http://t.co/nrM1N1ODQC
'646704056715608065'	RT @asoueif: 3. Remember that they should not have been in prison in the first place and that they have been robbed of months/years of thei…
'647027629758021632'	@AMG_OntheGo The concept of making beats is too much for this gal of the three-chord generation plus you don't have a tchotchke at the end.
'643779288009830401'	Abdel Nour issues executive regulation of law preferring Egyptian products - http://t.co/2uQTdpx3BO http://t.co/37jfas5HI8
'647165099661258753'	RT @RepMichelle: @fineout I filed marijuana repeal last year too
'646978044968738816'	Who will be the Starbucks of marijuana?   http://t.co/TqvviYZWHH
'648971421985599488'	it's like VCs later want to point to the fact that they said things were out of control, but are still investing and playing the game anyway
'640337519574278144'	@lpolovets @sbyrnes hence regulation?
'639838502088241152'	Central Europe PMs Urge Better EU Border Protection; Urge EU States to Observe Law, Incl. Dublin Regulation; Mandatory Quotas Unacceptable
'646309535230128128'	Great report on Akhmetov playing both sides of #Ukraine conflict. Some truly crazy interplay in there... http://t.co/7dqoRISSGS
'646966378327486464'	@AbstractCode lol nah, it's not busted, it's just very sluggish and buggy the last few months
'643960223502209025'	Fairbanks engineering building atop University of Alaska president's spending proposal http://t.co/tYcXUVBqUg
'641544088991440896'	"Will continue to develop multi-tiered capital markets underpinned by law and regulation." Premier Li #premierli http://t.co/NFnANkfQav
'646042360036618240'	Drug charges filed against owners of marijuana-related businesses http://t.co/1HUy2l1eMv http://t.co/EKCfah2K2j
'647078173050568704'	Here's the draft paper with technical options the Obama administration considered for backdoors just two months ago: http://t.co/NNw4jFYtjF
'645966765315387392'	New marijuana law side effect: Youth possession now a felony in Wash. state: A prosecutor in southeastern… http://t.co/WcUmUr3hi6
'646010504427601920'	#Law and Regulation of Virtual Worlds Seminar, 'me talk...' - #evergreen http://t.co/w1HlJYB8xa #LastPost #Speaking #VirtualWorlds #Web30
'644745200590438401'	University of Alaska mulls strategy for budget cuts, tuition increases http://t.co/CSKMFnxrGY
'646763449024925696'	RT @patcaldwell: Jeb Bush has no clue about business regulation http://t.co/au40sy2M8B via @motherjones
'641979988447764480'	This has to be historical.  For the 4th time in a row, the #Rams have the youngest team.  So they have that going for them, which is nice.
'639681929822998528'	Justice Department says law enforcement agencies must obtain warrant to use cellphone trackers http://t.co/1RbUY06bPu
'644749537337311232'	INEC falsified result for Dino Melaye — WITNESS #Frontpages @NigeriainfoFM
'641234601239691264'	Police in the City of Tonawanda have arrested and charged three teens on felony robbery and assault chargeshttp://t.co/pVmIhJfIVa
'644333275670908928'	Dobson says all of the charges against Lonna and Chris are felony charges. http://t.co/OjYkFPyauj
'648556629500272640'	Brains in a Dish Guide #Autism Sleuths Seeking First Medicines http://t.co/KDHD0Fmifg  @SimeonBennett @business
----------
