With article id: c24983f3-70bc-4e1e-b1ab-75d559adc338 and link: http://www.cnn.com/2015/09/05/us/tropical-storm-grace/index.html
'640324923706097665'	Tropical Storm Grace forms in eastern Atlantic http://t.co/yNbAvOswLH
'648102209729642496'	New Rice Variety May Boost Self-Sufficiency, But More Research Needed: Joko http://t.co/wwkjllKWtd
'641673115555233792'	@ErolTekin28 @lucasthorpe whose country? and which country?
'644132384342953984'	@EL_logical The point of the visual is that this was a kid who had a history of loving science, and none of that was taken into account.
'638708648345251840'	Matiase: The only solution to deal with this problem is to vote the ANC out of power and replace it with a radical and militant party, EFF.
'641075096996704256'	"It was the first thing in the morning, and the last thing at night; till, I confess, it began to be something of a bore to me."
'640332160021458944'	Is it too late to take a bath after 2am?
'641774432848072704'	It’s time to embrace wind energy in the Texas Hill Country | @DallasPolitics http://t.co/7J7h46rr8D http://t.co/b7LcNvjll0
'648981572192894978'	Is it time to rethink your R&amp;D infrastructure strategy? - Vantage https://t.co/vdf6GexhSR
'647849453957722112'	Also told the Swedish PM that he looks to Sweden to help his country can provide in the energy sector
'649368373885841408'	MT @castroideas: @pcousteau reassures the @ClimateReality leaders that "it is not too late" to create a more sustainable future #CRinFlorida
'641182477202124800'	@drewfhinshaw I did already Drew and it is an excellent piece - too much of the reporting so far has been irresponsibly one dimensional!
'645524970114682881'	@PlainTeaGirl Rata Uda :) Hill Country UP Country
'645781707740872704'	Remember, Mets fans: it's not too late to blow it.
'641314058944294921'	Ed Miliband was 'one of the worst Labour leaders in history and he should say sorry' - Simon Danczuk twists the knife http://t.co/MUwB9NHOyS
'649299168050200576'	RT @Tony_McNulty: Excellent speech from @tom_watson - a panegyric to the last Labour Government and why winning, and securing power, matter…
'640982165480710144'	RT @NeilJEdmondson: Let's be the world's smartest country on refugee policy, not the country that panics the most.
'641798511877586945'	German toddler welcomes young Syrian refugee to her country in sweetest way: http://t.co/w5OAsNb4hg
'645001992805445632'	Refugee Profile: From a Burundi massacre to self-sufficiency in Houston http://t.co/Hwa1pTp95h via @houstonchron http://t.co/BCvOVveUlH
'645606616176312320'	@zfiledh Thank you for the details Zel ! :)
'644647534346895361'	Dugdale: "One year on we must take the energy and enthusiasm of the referendum and use it to transform the lives of families in Scotland."
'647338180107223040'	@le_Sabre It doesn't have to be a trade-off: the PM is the head of the government and the army chief is the head of the army.
'641310807142346752'	Would have been more interesting if it was after the Labour leadership result https://t.co/0NLxAdUcOd
'642496110523584516'	Refugee crisis: Our compassion repairs their souls. Their passion remakes our country http://t.co/DjEetwthOl
'641527904942161920'	Cabinet clears National Offshore Wind Energy Policy for use of offshore areas within Exclusive Economic Zone, EEZ, of country.
'641867150521556992'	the Indochinese refugee crisis has lessons to offer for today’s Syrian exodus says @annehammerstad  http://t.co/WRmzqelyBl
'646052189127905280'	Griffin says Social Safety Net Programme Amalgamates Efforts, Will Lead to Self-Sufficiency via ... http://t.co/jzyh3P2H15
----------
With article id: 7df1df00-cf85-4584-bd5b-5a38e35b5694 and link: http://finance.yahoo.com/finance/news/atlas-financial-holdings-present-keefe-123000702.html
'645830859413692416'	Zurich Insurance expects continued weak profitability in general insurance, conducting in depth review of the business
'645731774560137216'	Just posted a photo @ New York, New York https://t.co/0PZ2PDUUaP
'641257985394802688'	Elisabeth Bumiller named Washington bureau chief at The New York Times:http://t.co/IoFelyFGaR
'647059709351043073'	Intelsat’s Chief Financial Officer to Present at Deutsche Bank 23rd Annual Leveraged Finance Conference http://t.co/uMbuyajss5
'649263155026202624'	That hurt my insurance company more than it hurt me.  #painless https://t.co/IdzRrN1pm8
'641084651952541696'	AccuTrack Radar on the hour. It's September 07, 2015 at 11:04PM http://t.co/BiUjvFlnjP
'641226526969737216'	Just a reminder: This week's Windows Weekly is today, Tues, Sept. 8, at 2 pm ET/11 am PT, instead of the usual Wed. http://t.co/FJbKjsntbg
'646850066431373312'	New WAH-Job: Account Executive - Gartner, Inc. - New York, NY: United States-NY-US,... http://t.co/DXNf8lvxlT via http://t.co/mKXEEwFrWC
'646849502880636928'	Video: Happy #Empire premiere with Lee, Mariah &amp; Maxwell. (at New York, New York) http://t.co/5Ztg84U6tw
'646201710260654080'	Chief Executive of Etihad Airways Partner airlines gather in Rome for leadership summitThe chief executive... http://t.co/MKL3z73UfM
'643009729136996352'	The Insurance Insider Monte Carlo 2015 Day 1 - The Insurance Insider (subscription) http://t.co/Btnwj6SgVP
'643756617415049217'	Ghana Reinsurance Honours SIC Insurance: Ghana Reinsurance Company Limited honoured SIC Insurance Company for ... http://t.co/Of8j4TeE65
'640669520705642497'	RT @abcnewsAdelaide: .@Adelaide_FC coach Scott Camporeale demonstrates ability as club prepares for finals, chief executive says http://t.c…
'642398997764812800'	The 10 Best Films at the 2015 New York Film Festival: http://t.co/ROLaUMoRNl  #Carol #AndNineOtherMovies #NYFF2015 http://t.co/5Ho6Qxpn96
'641124777650851840'	PM Lee calls opposition "insurance": insurance is good but you must buy the right insurance from the right company. #GE2015 #PAPRally
'639266897788203008'	Happy to be present at this conference. Do join in via remote participation https://t.co/yjqnfz0j18
'647392754419531776'	The Risks of Health Insurance Company Mergers http://t.co/cm4stK4XZJ
'648903960510787585'	Md. biotech CEO to present at conference  http://t.co/XBYwGoevjY
'644513349623877632'	President receives Hong Kong chief executive: Hong Kong Special Administration Regions Chief Executive, curren... http://t.co/cPZERAQsKQ
'646701754994847744'	#Volkswagen chief executive Martin Winterkorn has resigned
'648288946481426432'	At the Clinton Global Initiative annual meeting in New York, September 27, 2015.PHOTO CREDIT: Getty Images http://t.co/XFoxpe7LTc
'641065158278778881'	New York City, 2015: http://t.co/pKKlDpRlLs
'641847347446595584'	Vegas Eats: Tom's Urban at New York New York http://t.co/qyxH3F3Gil #vegas
'645830887842562048'	RT @CarolinCNBC: Zurich Insurance expects continued weak profitability in general insurance, conducting in depth review of the business
'643515068878032896'	@31philliplim @ Pier 94 New York, New York 10019 https://t.co/g7gveUx2ik
'644866073934868481'	Today at 10am, I'm delivering remarks to the Business Council of New York State in Bolton Landing. @BusinessNYS
'642996254243483648'	Repost by @limasocialdiary in alexanderwangny outfit @ Pier 94 New York, New York 10019 https://t.co/M8ECa0BTDi
'640669132996743168'	.@Adelaide_FC coach Scott Camporeale demonstrates ability as club prepares for finals, chief executive says http://t.co/6C4LMCgg7o
'641934813214052352'	The National Insurance Commission (NAICOM) has given insurance companies in the country up to September 30, 2015,... http://t.co/HMjpQUDOjZ
'641762022514757632'	SIC wins 'Cedant of the Year' award: SIC Insurance Company Limited has won the Ghana Reinsurance Company rsquo... http://t.co/sPyZ0goRWV
'639891919083016192'	@jpodhoretz The twist at the end is worse than anything in Atlas Shrugged.
'646118018255196160'	Homeowners suddenly dumped by insurance company http://t.co/4nCAYHkZdE
'639764489747959809'	Chief Executive Dr. Abdullah addresses @RECCAfghanistan participants.
'641266314007433216'	AccuTrack Radar on the hour. It's September 08, 2015 at 11:06AM http://t.co/7d1TWTwnme
'641613941030952960'	GTX Corp to Present at the SeeThruEquity Fall Microcap Investor Conference $GTXO http://t.co/uJFYfBUfot
'645831851118997504'	@UnemployedGenY @curtosys @paulg What's so terrible about being paid the cash equivalent of health insurance, and then buying the insurance?
'644059039446499328'	@Dean_Chadd Hi, Have you contacted the insurance company directly? TB
'641364659941982208'	RT @Skepta: NEW YORK, NEW YORK!! Link up in the courts on the corner of Houston and 6th Ave @ 6PM.
'642152202878844929'	What will they do, play New York, New York? https://t.co/eD0tMukmPE
'641243720323584000'	September, eh? (at @ThinkCoffeeNyc in New York, NY) https://t.co/1kFhUuGpMZ
'638729785519288321'	Inventergy to Present at Rodman &amp; Renshaw 17th Annual Global Investment Conference $IVNT http://t.co/maInBv5SMH
'641092073169494016'	RT @DreamMarket_T: This is a good sign for the SME sector and the insurance sector as it will encourage uptake of service  #Insurance  http…
'648285250347405312'	At the Clinton Global Initiative annual meeting in New York on September 27, 2015.PHOTO CREDIT: Getty Images
'646547669968523264'	Abbott-appointee Scott Buchholz dumped as Chief Whip: Scott Buchholz has been dumped as the Government's Chief... http://t.co/KkB5p1pYRb
'644874772950700032'	Special thanks to @SwissRe for hosting the 2015 Executive Program on Insurance Capital &amp; Risk Management!
'640154777452740609'	Minerva Neurosciences to present at Baird Healthcare Conference http://t.co/oeBcS9JvyY
'643500898115842050'	Health Insurance company commissions Ultra modern Hospital: Acacia Health Insurance limited, a private mutual ... http://t.co/1Jl3dVT3W6
'642252047958454272'	Chief Executive to visit Jakarta http://t.co/hZkWGO1bWZ #hknews
'641111898528739328'	I posted 17 photos on Facebook in the album "New York State Fair 2015" http://t.co/pPVkpro8Sq
'646336471352389632'	 @ New York, New York https://t.co/nHtOjxFedp
'649331086573617152'	NYPD contingent at the New York Women in Law Enforcement conference in Rochester. http://t.co/yYFO3ZXHHu
'644670692995284992'	New York, New York http://t.co/iLCVvtBvjC
'638546216146436097'	Should the entire financial sector was more like insurance/re-insurance, to make us safer from catastrophes?   http://t.co/Pg1tfdNQDI
'643834615698878464'	RT @radleybalko: Insanity: In Texas, an insurance company is paying prosecutors to pursue insurance fraud cases. http://t.co/ByN0CX2nT9
'641361257249943555'	Qalaa Holdings to introduce Rift Valley Railways at conference - http://t.co/6s5PMx7s7A http://t.co/8xbxaDCpKa
'646900345499594752'	Volkswagen chief executive Winterkorn resigns http://t.co/bqVDPeL7sb
'644138469233573888'	RT @kaul_vivek: Insurance company business plans are all fiction. @authoramish  at @firstpost salon
'641291405067952128'	@BharatiSawant At the moment the flights from Mumbai to Germany are listed as scheduled on 10 September 2015. /Ted
'647852695051739136'	Joseph P. Keefe Regional Technical School awarded Financial Education Innovation Fund grant http://t.co/KfQZ22l6j3
'644023291837939712'	Chief Executive CY Leung says, as the Central Government appoints the Chief Executive, and the principal officials… http://t.co/2JnkSenG2b
'643829703892008961'	RT @radleybalko: Insanity: In Texas, an insurance company is paying prosecutors to pursue insurance fraud cases. http://t.co/ByN0CX2nT9
'641070328677072897'	AccuTrack Radar on the hour. It's September 07, 2015 at 10:07PM http://t.co/NZL3Z86ZVw
'643515072178987008'	Video: @31philliplim (presso Pier 94 New York, New York 10019) http://t.co/pgRTWf02JN
----------
With article id: 899a8c22-3bf4-4274-ae6b-d3ac4ee451e3 and link: http://www.watoday.com.au/digital-life/digital-life-news/apple-announces-iphone-6s-and-iphone-6s-plus-new-apple-tv-and-ipad-pro-20150910-gjj1f6.html
'641755963175890945'	#news Apple unveils iPad Pro, new iPhones, revamps Apple TV - VIDEO: Will a new Apple TV 'blow away' the streaming... http://t.co/nuZ2dKnmZs
'641946891622699008'	Apple debuts larger iPad Pro, iPhone 6S, iPhone 6S Plus, new Apple TV http://t.co/PYl24akjwX
'641789200069619713'	#Apple unveils new iPhone 6S, Apple TV and iPad Pro http://t.co/XbrEUV7SQE http://t.co/JIyaBjRF1I
'641767593871695872'	Apple unveils new iPhone 6S, Apple TV and iPad Pro http://t.co/whvE6ptgn9
'643542473340493824'	Will @Qwerkywriter work with the iPad Pro?
'641692061675053056'	Apple announces iPhone 6S, iPhone 6S Plus http://t.co/FzanBBih7C
'641669378136653825'	RT @jank0: iPad Pro starts at $799.
'641689314842292224'	I want a new Apple TV, new iPhone and new iPad Pro with stylus and keyboard. It's an expensive day. Apple is killing it, again.
'643279060768952324'	@DanielleMorrill and Apple is your generation's Apple.
'644332216932110336'	Huawei Watch Black Stainless - released tomorrow! I HUNGER for this, it puts the Apple Watch to total shame! http://t.co/WckpVhwFDe
'646070440381820928'	Watch OS 2.0 is here. Should you install it? Should you buy an Apple Watch at all? https://t.co/8Azfr2EYIf
'641790694567247872'	People who dislike the new Apple Watch strap are two-tone policing.
'641662730840113153'	iPad Pro officially announced. “The biggest iPad news since the iPad.” #AppleEvent
'641664313388867584'	10-hour battery life for iPad Pro.
'648471776972836864'	@JazzyDogCafe @TastyChomps @Apple I'm an #apple fan
'638662605947596800'	2,50,000 Apple IDs stolen from jailbroken iPhones http://t.co/X2Oxr9kHOX
'641691626331611136'	New Apple gadgets: iPhone 6S,  ginormous iPad Pro, gamier Apple TV http://t.co/9gcnMqNtxu
'641926248663543808'	Apple unveils iPhone 6S, 6S Plus and huge new iPad Pro – in pictures http://t.co/J2GQBLh2C7
'641733084656766976'	Tim Cook unveils new iPhone 6S, Apple TV, iPad Pro http://t.co/b20wmCa3TV
'641733083939540992'	Tim Cook unveils new iPhone 6S, Apple TV, iPad Pro http://t.co/WkqF2RkTJb
'648484483876978688'	Apple Sells 13 Million iPhones In Opening Weekend, Or 3,000 iPhones Per Minute http://t.co/J7rXldvyHf
'641198056206024704'	'Apple the biggest obstacle to better iPhones' http://t.co/fUqcvoRvvn
'641778419240308736'	Apple unveils new iPhone 6S, Apple TV and iPad Pro  http://t.co/Ro6ZmAtrOo http://t.co/mnW54hSpzr
'639060241309671425'	Huawei Watch release date and price confirmed: High-end wearable coming in October for Apple Watch fees http://t.co/VV5ExGRbFc
'639060475985154048'	The luxurious Huawei Watch will cost as much as an Apple Watch http://t.co/vHlDQTqtbA http://t.co/K3uP0XmbZr
'641673398695800833'	just In: Apple Announces Apple TV  #AppleEvent
'639060238268780544'	Huawei Watch release date and price confirmed: High-end wearable coming in October for Apple Watch fees http://t.co/R24XUJXP63
'641662733008547846'	iPad PRO. …Powerful iPad ever created… :P Punch line ;) #AppleEvent
'642604763473948673'	apple kids did you apple well
'649134976185860096'	RT @ChinaDailyEU: Apple introduces Apple Music in China: US technology company Apple Inc announced on Wednesday that Apple Music... http://…
'639375849989386240'	‘Apple should lease iPhones’ http://t.co/ZCCrszRQz6
'641689346479886336'	Apple announces new iPad Pro, Apple TV and iPhone 6S and 6S Plus http://t.co/1czKzOVSiA http://t.co/zza3mHrVSJ
'641815302293073920'	iPad Surface Pro? #tamil http://t.co/7fQKnwugZd
'645897933716520961'	Apple commences shipping new generation iPhones http://t.co/kKGMzI3fy0
'648500243395293184'	Apple sells record 13 million new iPhones http://t.co/8V6lLEFneV
'641662205046452224'	Cook is onstage with the iPad Pro.
'639065070614523904'	The luxurious Huawei Watch will cost as much as an Apple Watch http://t.co/cqsBW06Mmq http://t.co/gsvfbJ6fNp
'642335281996296192'	@MikeIsaac @palafo Apple with Apple News, too
'641732577800228864'	Tim Cook unveils new iPhone 6S, Apple TV, iPad Pro: Apple CEO Tim Cook has unveiled two new iPhones as well as the… http://t.co/NFKNszSTf8
'643124165642358784'	Apple TV (2015) Preview: For all the excitement around the new iPhone 6S and iPad Pro, the new Apple TV was in... http://t.co/il7pJG9gLJ
'641733084610625537'	Tim Cook unveils new iPhone 6S, Apple TV, iPad Pro http://t.co/EC7yGDIqDY
'639853375249641473'	More than 25 of the BEST Apple Dessert Recipes – apple crisp, apple muffins, apple pie, apple cobble http://t.co/8lk5IQbd7c
'647083491708964864'	Huawei Watch is ridics large on my wrist, but the screen is sharp as anything. Like @greengart, alternating b/w that and the Apple Watch.
'641766619816042496'	Apple unveils new iPhone 6s, Apple TV and iPad Pro. http://t.co/TfYYDs5z1N
'641667470932201472'	Apple StaplerApple ScissorsApple MouthwashApple Garbage BinApple Inanimate Carbon RodPlease send royalty checks c/o NYT thx
'641744956642754560'	#Apple unveils iPad Pro, new iPhones, revamps Apple TV http://t.co/jOwjiFDHe3 #AppleEvent http://t.co/mJEP96QnSP
'646016279409762304'	Review: Apple Watch improves with new software http://t.co/gMev5i5Nfk
'641679050226987008'	Next up Apple iPhones #AppleEvent
'641027618301722624'	Apple opens iPhones to ad-blockers http://t.co/sWg1Tas3sa
'641663188875014144'	RT @TheRegister: NEW iPAD — IT'S … IT'S …. IT'S ANOTHER IPAD. IPAD PRO. ANOTHER TABLET. #AppleEvent
'641681440606781440'	just In: Apple Announces Apple TV  #AppleEvent
'641639719340666880'	Apple, Apple, Apple, Apple, Apple, Apple, Apple, Apple, Apple, Apple, Apple, Apple, Birne. http://t.co/Hsws9LY6iX http://t.co/QtDtvfFzxE
'641733167481647104'	#Apple unveils 3D #iPhone6s, giant iPad pro and TV with voice control http://t.co/iZXGD3nMzc
'641664367914696705'	iPad Pro is 360 times faster than the original iPad.
'642000831206690817'	As iPhone 6S launches, a new Apple TV and iPad Pro steal the show http://t.co/t5S7OkPgkA via @CNET
'641707648635805696'	Apple reveals new iPhone 6s and iPhone 6s Plus, new Apple TV and iPad Pro. http://t.co/GWDoxu6vrF #AppleEvent
'639060848355475456'	Hitting wrists November 17, the Huawei Watch has Apple Watch in its sights http://t.co/h8kwiRr3iZ #IFA2015 http://t.co/sOYCr9Y5BX
'641751169979826176'	Apple launches iPhone 6s, iPhone 6s Plus, iPad Pro and Apple TV: Key points http://t.co/2IfIpMHYAm
'641662176009191424'	Apple announces the 'Biggest news in iPad since the iPad' - the iPad Pro. #AppleEvent
'648500238185967617'	Apple sells record 13 million new iPhones http://t.co/8fmmyqYb7N
'648487521702268929'	#apple pumping out #iphones https://t.co/eP6y7X5SDR
----------
